ID,Name,Team,Score,Matches_Played,Goals,Assists,Yellow_Cards,Red_Cards
7906,Player 7,Team 2,6,7,1,1,0,0
7907,Player 8,Team 3,7,8,2,2,1,1
7908,Player 9,Team 4,8,9,3,0,0,0
7909,Player 10,Team 5,9,10,4,1,1,1
7910,Player 1,Team 1,10,1,0,2,0,0
7911,Player 2,Team 2,11,2,1,0,1,1
7912,Player 3,Team 3,12,3,2,1,0,0
7913,Player 4,Team 4,13,4,3,2,1,1
7914,Player 5,Team 5,14,5,4,0,0,0
7915,Player 6,Team 1,15,6,0,1,1,1
7916,Player 7,Team 2,16,7,1,2,0,0
7917,Player 8,Team 3,17,8,2,0,1,1
7918,Player 9,Team 4,18,9,3,1,0,0
7919,Player 10,Team 5,19,10,4,2,1,1
7920,Player 1,Team 1,0,1,0,0,0,0
7921,Player 2,Team 2,1,2,1,1,1,1
7922,Player 3,Team 3,2,3,2,2,0,0
7923,Player 4,Team 4,3,4,3,0,1,1
7924,Player 5,Team 5,4,5,4,1,0,0
7925,Player 6,Team 1,5,6,0,2,1,1
7926,Player 7,Team 2,6,7,1,0,0,0
7927,Player 8,Team 3,7,8,2,1,1,1
7928,Player 9,Team 4,8,9,3,2,0,0
7929,Player 10,Team 5,9,10,4,0,1,1
7930,Player 1,Team 1,10,1,0,1,0,0
7931,Player 2,Team 2,11,2,1,2,1,1
7932,Player 3,Team 3,12,3,2,0,0,0
7933,Player 4,Team 4,13,4,3,1,1,1
7934,Player 5,Team 5,14,5,4,2,0,0
7935,Player 6,Team 1,15,6,0,0,1,1
7936,Player 7,Team 2,16,7,1,1,0,0
7937,Player 8,Team 3,17,8,2,2,1,1
7938,Player 9,Team 4,18,9,3,0,0,0
7939,Player 10,Team 5,19,10,4,1,1,1
7940,Player 1,Team 1,0,1,0,2,0,0
7941,Player 2,Team 2,1,2,1,0,1,1
7942,Player 3,Team 3,2,3,2,1,0,0
7943,Player 4,Team 4,3,4,3,2,1,1
7944,Player 5,Team 5,4,5,4,0,0,0
7945,Player 6,Team 1,5,6,0,1,1,1
7946,Player 7,Team 2,6,7,1,2,0,0
7947,Player 8,Team 3,7,8,2,0,1,1
7948,Player 9,Team 4,8,9,3,1,0,0
7949,Player 10,Team 5,9,10,4,2,1,1
7950,Player 1,Team 1,10,1,0,0,0,0
7951,Player 2,Team 2,11,2,1,1,1,1
7952,Player 3,Team 3,12,3,2,2,0,0
7953,Player 4,Team 4,13,4,3,0,1,1
7954,Player 5,Team 5,14,5,4,1,0,0
7955,Player 6,Team 1,15,6,0,2,1,1
7956,Player 7,Team 2,16,7,1,0,0,0
7957,Player 8,Team 3,17,8,2,1,1,1
7958,Player 9,Team 4,18,9,3,2,0,0
7959,Player 10,Team 5,19,10,4,0,1,1
7960,Player 1,Team 1,0,1,0,1,0,0
7961,Player 2,Team 2,1,2,1,2,1,1
7962,Player 3,Team 3,2,3,2,0,0,0
7963,Player 4,Team 4,3,4,3,1,1,1
7964,Player 5,Team 5,4,5,4,2,0,0
7965,Player 6,Team 1,5,6,0,0,1,1
7966,Player 7,Team 2,6,7,1,1,0,0
7967,Player 8,Team 3,7,8,2,2,1,1
7968,Player 9,Team 4,8,9,3,0,0,0
7969,Player 10,Team 5,9,10,4,1,1,1
7970,Player 1,Team 1,10,1,0,2,0,0
7971,Player 2,Team 2,11,2,1,0,1,1
7972,Player 3,Team 3,12,3,2,1,0,0
7973,Player 4,Team 4,13,4,3,2,1,1
7974,Player 5,Team 5,14,5,4,0,0,0
7975,Player 6,Team 1,15,6,0,1,1,1
7976,Player 7,Team 2,16,7,1,2,0,0
7977,Player 8,Team 3,17,8,2,0,1,1
7978,Player 9,Team 4,18,9,3,1,0,0
7979,Player 10,Team 5,19,10,4,2,1,1
7980,Player 1,Team 1,0,1,0,0,0,0
7981,Player 2,Team 2,1,2,1,1,1,1
7982,Player 3,Team 3,2,3,2,2,0,0
7983,Player 4,Team 4,3,4,3,0,1,1
7984,Player 5,Team 5,4,5,4,1,0,0
7985,Player 6,Team 1,5,6,0,2,1,1
7986,Player 7,Team 2,6,7,1,0,0,0
7987,Player 8,Team 3,7,8,2,1,1,1
7988,Player 9,Team 4,8,9,3,2,0,0
7989,Player 10,Team 5,9,10,4,0,1,1
7990,Player 1,Team 1,10,1,0,1,0,0
7991,Player 2,Team 2,11,2,1,2,1,1
7992,Player 3,Team 3,12,3,2,0,0,0
7993,Player 4,Team 4,13,4,3,1,1,1
7994,Player 5,Team 5,14,5,4,2,0,0
7995,Player 6,Team 1,15,6,0,0,1,1
7996,Player 7,Team 2,16,7,1,1,0,0
7997,Player 8,Team 3,17,8,2,2,1,1
7998,Player 9,Team 4,18,9,3,0,0,0
7999,Player 10,Team 5,19,10,4,1,1,1
8000,Player 1,Team 1,0,1,0,2,0,0
8001,Player 2,Team 2,1,2,1,0,1,1
8002,Player 3,Team 3,2,3,2,1,0,0
8003,Player 4,Team 4,3,4,3,2,1,1
8004,Player 5,Team 5,4,5,4,0,0,0
8005,Player 6,Team 1,5,6,0,1,1,1
8006,Player 7,Team 2,6,7,1,2,0,0
8007,Player 8,Team 3,7,8,2,0,1,1
8008,Player 9,Team 4,8,9,3,1,0,0
8009,Player 10,Team 5,9,10,4,2,1,1
8010,Player 1,Team 1,10,1,0,0,0,0
8011,Player 2,Team 2,11,2,1,1,1,1
8012,Player 3,Team 3,12,3,2,2,0,0
8013,Player 4,Team 4,13,4,3,0,1,1
8014,Player 5,Team 5,14,5,4,1,0,0
8015,Player 6,Team 1,15,6,0,2,1,1
8016,Player 7,Team 2,16,7,1,0,0,0
8017,Player 8,Team 3,17,8,2,1,1,1
8018,Player 9,Team 4,18,9,3,2,0,0
8019,Player 10,Team 5,19,10,4,0,1,1
8020,Player 1,Team 1,0,1,0,1,0,0
8021,Player 2,Team 2,1,2,1,2,1,1
8022,Player 3,Team 3,2,3,2,0,0,0
8023,Player 4,Team 4,3,4,3,1,1,1
8024,Player 5,Team 5,4,5,4,2,0,0
8025,Player 6,Team 1,5,6,0,0,1,1
8026,Player 7,Team 2,6,7,1,1,0,0
8027,Player 8,Team 3,7,8,2,2,1,1
8028,Player 9,Team 4,8,9,3,0,0,0
8029,Player 10,Team 5,9,10,4,1,1,1
8030,Player 1,Team 1,10,1,0,2,0,0
8031,Player 2,Team 2,11,2,1,0,1,1
8032,Player 3,Team 3,12,3,2,1,0,0
8033,Player 4,Team 4,13,4,3,2,1,1
8034,Player 5,Team 5,14,5,4,0,0,0
8035,Player 6,Team 1,15,6,0,1,1,1
8036,Player 7,Team 2,16,7,1,2,0,0
8037,Player 8,Team 3,17,8,2,0,1,1
8038,Player 9,Team 4,18,9,3,1,0,0
8039,Player 10,Team 5,19,10,4,2,1,1
8040,Player 1,Team 1,0,1,0,0,0,0
8041,Player 2,Team 2,1,2,1,1,1,1
8042,Player 3,Team 3,2,3,2,2,0,0
8043,Player 4,Team 4,3,4,3,0,1,1
8044,Player 5,Team 5,4,5,4,1,0,0
8045,Player 6,Team 1,5,6,0,2,1,1
8046,Player 7,Team 2,6,7,1,0,0,0
8047,Player 8,Team 3,7,8,2,1,1,1
8048,Player 9,Team 4,8,9,3,2,0,0
8049,Player 10,Team 5,9,10,4,0,1,1
8050,Player 1,Team 1,10,1,0,1,0,0
8051,Player 2,Team 2,11,2,1,2,1,1
8052,Player 3,Team 3,12,3,2,0,0,0
8053,Player 4,Team 4,13,4,3,1,1,1
8054,Player 5,Team 5,14,5,4,2,0,0
8055,Player 6,Team 1,15,6,0,0,1,1
8056,Player 7,Team 2,16,7,1,1,0,0
8057,Player 8,Team 3,17,8,2,2,1,1
8058,Player 9,Team 4,18,9,3,0,0,0
8059,Player 10,Team 5,19,10,4,1,1,1
8060,Player 1,Team 1,0,1,0,2,0,0
8061,Player 2,Team 2,1,2,1,0,1,1
8062,Player 3,Team 3,2,3,2,1,0,0
8063,Player 4,Team 4,3,4,3,2,1,1
8064,Player 5,Team 5,4,5,4,0,0,0
8065,Player 6,Team 1,5,6,0,1,1,1
8066,Player 7,Team 2,6,7,1,2,0,0
8067,Player 8,Team 3,7,8,2,0,1,1
8068,Player 9,Team 4,8,9,3,1,0,0
8069,Player 10,Team 5,9,10,4,2,1,1
8070,Player 1,Team 1,10,1,0,0,0,0
8071,Player 2,Team 2,11,2,1,1,1,1
8072,Player 3,Team 3,12,3,2,2,0,0
8073,Player 4,Team 4,13,4,3,0,1,1
8074,Player 5,Team 5,14,5,4,1,0,0
8075,Player 6,Team 1,15,6,0,2,1,1
8076,Player 7,Team 2,16,7,1,0,0,0
8077,Player 8,Team 3,17,8,2,1,1,1
8078,Player 9,Team 4,18,9,3,2,0,0
8079,Player 10,Team 5,19,10,4,0,1,1
8080,Player 1,Team 1,0,1,0,1,0,0
8081,Player 2,Team 2,1,2,1,2,1,1
8082,Player 3,Team 3,2,3,2,0,0,0
8083,Player 4,Team 4,3,4,3,1,1,1
8084,Player 5,Team 5,4,5,4,2,0,0
8085,Player 6,Team 1,5,6,0,0,1,1
8086,Player 7,Team 2,6,7,1,1,0,0
8087,Player 8,Team 3,7,8,2,2,1,1
8088,Player 9,Team 4,8,9,3,0,0,0
8089,Player 10,Team 5,9,10,4,1,1,1
8090,Player 1,Team 1,10,1,0,2,0,0
8091,Player 2,Team 2,11,2,1,0,1,1
8092,Player 3,Team 3,12,3,2,1,0,0
8093,Player 4,Team 4,13,4,3,2,1,1
8094,Player 5,Team 5,14,5,4,0,0,0
8095,Player 6,Team 1,15,6,0,1,1,1
8096,Player 7,Team 2,16,7,1,2,0,0
8097,Player 8,Team 3,17,8,2,0,1,1
8098,Player 9,Team 4,18,9,3,1,0,0
8099,Player 10,Team 5,19,10,4,2,1,1
8100,Player 1,Team 1,0,1,0,0,0,0
8101,Player 2,Team 2,1,2,1,1,1,1
8102,Player 3,Team 3,2,3,2,2,0,0
8103,Player 4,Team 4,3,4,3,0,1,1
8104,Player 5,Team 5,4,5,4,1,0,0
8105,Player 6,Team 1,5,6,0,2,1,1
8106,Player 7,Team 2,6,7,1,0,0,0
8107,Player 8,Team 3,7,8,2,1,1,1
8108,Player 9,Team 4,8,9,3,2,0,0
8109,Player 10,Team 5,9,10,4,0,1,1
8110,Player 1,Team 1,10,1,0,1,0,0
8111,Player 2,Team 2,11,2,1,2,1,1
8112,Player 3,Team 3,12,3,2,0,0,0
8113,Player 4,Team 4,13,4,3,1,1,1
8114,Player 5,Team 5,14,5,4,2,0,0
8115,Player 6,Team 1,15,6,0,0,1,1
8116,Player 7,Team 2,16,7,1,1,0,0
8117,Player 8,Team 3,17,8,2,2,1,1
8118,Player 9,Team 4,18,9,3,0,0,0
8119,Player 10,Team 5,19,10,4,1,1,1
8120,Player 1,Team 1,0,1,0,2,0,0
8121,Player 2,Team 2,1,2,1,0,1,1
8122,Player 3,Team 3,2,3,2,1,0,0
8123,Player 4,Team 4,3,4,3,2,1,1
8124,Player 5,Team 5,4,5,4,0,0,0
8125,Player 6,Team 1,5,6,0,1,1,1
8126,Player 7,Team 2,6,7,1,2,0,0
8127,Player 8,Team 3,7,8,2,0,1,1
8128,Player 9,Team 4,8,9,3,1,0,0
8129,Player 10,Team 5,9,10,4,2,1,1
8130,Player 1,Team 1,10,1,0,0,0,0
8131,Player 2,Team 2,11,2,1,1,1,1
8132,Player 3,Team 3,12,3,2,2,0,0
8133,Player 4,Team 4,13,4,3,0,1,1
8134,Player 5,Team 5,14,5,4,1,0,0
8135,Player 6,Team 1,15,6,0,2,1,1
8136,Player 7,Team 2,16,7,1,0,0,0
8137,Player 8,Team 3,17,8,2,1,1,1
8138,Player 9,Team 4,18,9,3,2,0,0
8139,Player 10,Team 5,19,10,4,0,1,1
8140,Player 1,Team 1,0,1,0,1,0,0
8141,Player 2,Team 2,1,2,1,2,1,1
8142,Player 3,Team 3,2,3,2,0,0,0
8143,Player 4,Team 4,3,4,3,1,1,1
8144,Player 5,Team 5,4,5,4,2,0,0
8145,Player 6,Team 1,5,6,0,0,1,1
8146,Player 7,Team 2,6,7,1,1,0,0
8147,Player 8,Team 3,7,8,2,2,1,1
8148,Player 9,Team 4,8,9,3,0,0,0
8149,Player 10,Team 5,9,10,4,1,1,1
8150,Player 1,Team 1,10,1,0,2,0,0
8151,Player 2,Team 2,11,2,1,0,1,1
8152,Player 3,Team 3,12,3,2,1,0,0
8153,Player 4,Team 4,13,4,3,2,1,1
8154,Player 5,Team 5,14,5,4,0,0,0
8155,Player 6,Team 1,15,6,0,1,1,1
8156,Player 7,Team 2,16,7,1,2,0,0
8157,Player 8,Team 3,17,8,2,0,1,1
8158,Player 9,Team 4,18,9,3,1,0,0
8159,Player 10,Team 5,19,10,4,2,1,1
8160,Player 1,Team 1,0,1,0,0,0,0
8161,Player 2,Team 2,1,2,1,1,1,1
8162,Player 3,Team 3,2,3,2,2,0,0
8163,Player 4,Team 4,3,4,3,0,1,1
8164,Player 5,Team 5,4,5,4,1,0,0
8165,Player 6,Team 1,5,6,0,2,1,1
8166,Player 7,Team 2,6,7,1,0,0,0
8167,Player 8,Team 3,7,8,2,1,1,1
8168,Player 9,Team 4,8,9,3,2,0,0
8169,Player 10,Team 5,9,10,4,0,1,1
8170,Player 1,Team 1,10,1,0,1,0,0
8171,Player 2,Team 2,11,2,1,2,1,1
8172,Player 3,Team 3,12,3,2,0,0,0
8173,Player 4,Team 4,13,4,3,1,1,1
8174,Player 5,Team 5,14,5,4,2,0,0
8175,Player 6,Team 1,15,6,0,0,1,1
8176,Player 7,Team 2,16,7,1,1,0,0
8177,Player 8,Team 3,17,8,2,2,1,1
8178,Player 9,Team 4,18,9,3,0,0,0
8179,Player 10,Team 5,19,10,4,1,1,1
8180,Player 1,Team 1,0,1,0,2,0,0
8181,Player 2,Team 2,1,2,1,0,1,1
8182,Player 3,Team 3,2,3,2,1,0,0
8183,Player 4,Team 4,3,4,3,2,1,1
8184,Player 5,Team 5,4,5,4,0,0,0
8185,Player 6,Team 1,5,6,0,1,1,1
8186,Player 7,Team 2,6,7,1,2,0,0
8187,Player 8,Team 3,7,8,2,0,1,1
8188,Player 9,Team 4,8,9,3,1,0,0
8189,Player 10,Team 5,9,10,4,2,1,1
8190,Player 1,Team 1,10,1,0,0,0,0
8191,Player 2,Team 2,11,2,1,1,1,1
8192,Player 3,Team 3,12,3,2,2,0,0
8193,Player 4,Team 4,13,4,3,0,1,1
8194,Player 5,Team 5,14,5,4,1,0,0
8195,Player 6,Team 1,15,6,0,2,1,1
8196,Player 7,Team 2,16,7,1,0,0,0
8197,Player 8,Team 3,17,8,2,1,1,1
8198,Player 9,Team 4,18,9,3,2,0,0
8199,Player 10,Team 5,19,10,4,0,1,1
8200,Player 1,Team 1,0,1,0,1,0,0
8201,Player 2,Team 2,1,2,1,2,1,1
8202,Player 3,Team 3,2,3,2,0,0,0
8203,Player 4,Team 4,3,4,3,1,1,1
8204,Player 5,Team 5,4,5,4,2,0,0
8205,Player 6,Team 1,5,6,0,0,1,1
8206,Player 7,Team 2,6,7,1,1,0,0
8207,Player 8,Team 3,7,8,2,2,1,1
8208,Player 9,Team 4,8,9,3,0,0,0
8209,Player 10,Team 5,9,10,4,1,1,1
8210,Player 1,Team 1,10,1,0,2,0,0
8211,Player 2,Team 2,11,2,1,0,1,1
8212,Player 3,Team 3,12,3,2,1,0,0
8213,Player 4,Team 4,13,4,3,2,1,1
8214,Player 5,Team 5,14,5,4,0,0,0
8215,Player 6,Team 1,15,6,0,1,1,1
8216,Player 7,Team 2,16,7,1,2,0,0
8217,Player 8,Team 3,17,8,2,0,1,1
8218,Player 9,Team 4,18,9,3,1,0,0
8219,Player 10,Team 5,19,10,4,2,1,1
8220,Player 1,Team 1,0,1,0,0,0,0
8221,Player 2,Team 2,1,2,1,1,1,1
8222,Player 3,Team 3,2,3,2,2,0,0
8223,Player 4,Team 4,3,4,3,0,1,1
8224,Player 5,Team 5,4,5,4,1,0,0
8225,Player 6,Team 1,5,6,0,2,1,1
8226,Player 7,Team 2,6,7,1,0,0,0
8227,Player 8,Team 3,7,8,2,1,1,1
8228,Player 9,Team 4,8,9,3,2,0,0
8229,Player 10,Team 5,9,10,4,0,1,1
8230,Player 1,Team 1,10,1,0,1,0,0
8231,Player 2,Team 2,11,2,1,2,1,1
8232,Player 3,Team 3,12,3,2,0,0,0
8233,Player 4,Team 4,13,4,3,1,1,1
8234,Player 5,Team 5,14,5,4,2,0,0
8235,Player 6,Team 1,15,6,0,0,1,1
8236,Player 7,Team 2,16,7,1,1,0,0
8237,Player 8,Team 3,17,8,2,2,1,1
8238,Player 9,Team 4,18,9,3,0,0,0
8239,Player 10,Team 5,19,10,4,1,1,1
8240,Player 1,Team 1,0,1,0,2,0,0
8241,Player 2,Team 2,1,2,1,0,1,1
8242,Player 3,Team 3,2,3,2,1,0,0
8243,Player 4,Team 4,3,4,3,2,1,1
8244,Player 5,Team 5,4,5,4,0,0,0
8245,Player 6,Team 1,5,6,0,1,1,1
8246,Player 7,Team 2,6,7,1,2,0,0
8247,Player 8,Team 3,7,8,2,0,1,1
8248,Player 9,Team 4,8,9,3,1,0,0
8249,Player 10,Team 5,9,10,4,2,1,1
8250,Player 1,Team 1,10,1,0,0,0,0
8251,Player 2,Team 2,11,2,1,1,1,1
8252,Player 3,Team 3,12,3,2,2,0,0
8253,Player 4,Team 4,13,4,3,0,1,1
8254,Player 5,Team 5,14,5,4,1,0,0
8255,Player 6,Team 1,15,6,0,2,1,1
8256,Player 7,Team 2,16,7,1,0,0,0
8257,Player 8,Team 3,17,8,2,1,1,1
8258,Player 9,Team 4,18,9,3,2,0,0
8259,Player 10,Team 5,19,10,4,0,1,1
8260,Player 1,Team 1,0,1,0,1,0,0
8261,Player 2,Team 2,1,2,1,2,1,1
8262,Player 3,Team 3,2,3,2,0,0,0
8263,Player 4,Team 4,3,4,3,1,1,1
8264,Player 5,Team 5,4,5,4,2,0,0
8265,Player 6,Team 1,5,6,0,0,1,1
8266,Player 7,Team 2,6,7,1,1,0,0
8267,Player 8,Team 3,7,8,2,2,1,1
8268,Player 9,Team 4,8,9,3,0,0,0
8269,Player 10,Team 5,9,10,4,1,1,1
8270,Player 1,Team 1,10,1,0,2,0,0
8271,Player 2,Team 2,11,2,1,0,1,1
8272,Player 3,Team 3,12,3,2,1,0,0
8273,Player 4,Team 4,13,4,3,2,1,1
8274,Player 5,Team 5,14,5,4,0,0,0
8275,Player 6,Team 1,15,6,0,1,1,1
8276,Player 7,Team 2,16,7,1,2,0,0
8277,Player 8,Team 3,17,8,2,0,1,1
8278,Player 9,Team 4,18,9,3,1,0,0
8279,Player 10,Team 5,19,10,4,2,1,1
8280,Player 1,Team 1,0,1,0,0,0,0
8281,Player 2,Team 2,1,2,1,1,1,1
8282,Player 3,Team 3,2,3,2,2,0,0
8283,Player 4,Team 4,3,4,3,0,1,1
8284,Player 5,Team 5,4,5,4,1,0,0
8285,Player 6,Team 1,5,6,0,2,1,1
8286,Player 7,Team 2,6,7,1,0,0,0
8287,Player 8,Team 3,7,8,2,1,1,1
8288,Player 9,Team 4,8,9,3,2,0,0
8289,Player 10,Team 5,9,10,4,0,1,1
8290,Player 1,Team 1,10,1,0,1,0,0
8291,Player 2,Team 2,11,2,1,2,1,1
8292,Player 3,Team 3,12,3,2,0,0,0
8293,Player 4,Team 4,13,4,3,1,1,1
8294,Player 5,Team 5,14,5,4,2,0,0
8295,Player 6,Team 1,15,6,0,0,1,1
8296,Player 7,Team 2,16,7,1,1,0,0
8297,Player 8,Team 3,17,8,2,2,1,1
8298,Player 9,Team 4,18,9,3,0,0,0
8299,Player 10,Team 5,19,10,4,1,1,1
8300,Player 1,Team 1,0,1,0,2,0,0
8301,Player 2,Team 2,1,2,1,0,1,1
8302,Player 3,Team 3,2,3,2,1,0,0
8303,Player 4,Team 4,3,4,3,2,1,1
8304,Player 5,Team 5,4,5,4,0,0,0
8305,Player 6,Team 1,5,6,0,1,1,1
8306,Player 7,Team 2,6,7,1,2,0,0
8307,Player 8,Team 3,7,8,2,0,1,1
8308,Player 9,Team 4,8,9,3,1,0,0
8309,Player 10,Team 5,9,10,4,2,1,1
8310,Player 1,Team 1,10,1,0,0,0,0
8311,Player 2,Team 2,11,2,1,1,1,1
8312,Player 3,Team 3,12,3,2,2,0,0
8313,Player 4,Team 4,13,4,3,0,1,1
8314,Player 5,Team 5,14,5,4,1,0,0
8315,Player 6,Team 1,15,6,0,2,1,1
8316,Player 7,Team 2,16,7,1,0,0,0
8317,Player 8,Team 3,17,8,2,1,1,1
8318,Player 9,Team 4,18,9,3,2,0,0
8319,Player 10,Team 5,19,10,4,0,1,1
8320,Player 1,Team 1,0,1,0,1,0,0
8321,Player 2,Team 2,1,2,1,2,1,1
8322,Player 3,Team 3,2,3,2,0,0,0
8323,Player 4,Team 4,3,4,3,1,1,1
8324,Player 5,Team 5,4,5,4,2,0,0
8325,Player 6,Team 1,5,6,0,0,1,1
8326,Player 7,Team 2,6,7,1,1,0,0
8327,Player 8,Team 3,7,8,2,2,1,1
8328,Player 9,Team 4,8,9,3,0,0,0
8329,Player 10,Team 5,9,10,4,1,1,1
8330,Player 1,Team 1,10,1,0,2,0,0
8331,Player 2,Team 2,11,2,1,0,1,1
8332,Player 3,Team 3,12,3,2,1,0,0
8333,Player 4,Team 4,13,4,3,2,1,1
8334,Player 5,Team 5,14,5,4,0,0,0
8335,Player 6,Team 1,15,6,0,1,1,1
8336,Player 7,Team 2,16,7,1,2,0,0
8337,Player 8,Team 3,17,8,2,0,1,1
8338,Player 9,Team 4,18,9,3,1,0,0
8339,Player 10,Team 5,19,10,4,2,1,1
8340,Player 1,Team 1,0,1,0,0,0,0
8341,Player 2,Team 2,1,2,1,1,1,1
8342,Player 3,Team 3,2,3,2,2,0,0
8343,Player 4,Team 4,3,4,3,0,1,1
8344,Player 5,Team 5,4,5,4,1,0,0
8345,Player 6,Team 1,5,6,0,2,1,1
8346,Player 7,Team 2,6,7,1,0,0,0
8347,Player 8,Team 3,7,8,2,1,1,1
8348,Player 9,Team 4,8,9,3,2,0,0
8349,Player 10,Team 5,9,10,4,0,1,1
8350,Player 1,Team 1,10,1,0,1,0,0
8351,Player 2,Team 2,11,2,1,2,1,1
8352,Player 3,Team 3,12,3,2,0,0,0
8353,Player 4,Team 4,13,4,3,1,1,1
8354,Player 5,Team 5,14,5,4,2,0,0
8355,Player 6,Team 1,15,6,0,0,1,1
8356,Player 7,Team 2,16,7,1,1,0,0
8357,Player 8,Team 3,17,8,2,2,1,1
8358,Player 9,Team 4,18,9,3,0,0,0
8359,Player 10,Team 5,19,10,4,1,1,1
8360,Player 1,Team 1,0,1,0,2,0,0
8361,Player 2,Team 2,1,2,1,0,1,1
8362,Player 3,Team 3,2,3,2,1,0,0
8363,Player 4,Team 4,3,4,3,2,1,1
8364,Player 5,Team 5,4,5,4,0,0,0
8365,Player 6,Team 1,5,6,0,1,1,1
8366,Player 7,Team 2,6,7,1,2,0,0
8367,Player 8,Team 3,7,8,2,0,1,1
8368,Player 9,Team 4,8,9,3,1,0,0
8369,Player 10,Team 5,9,10,4,2,1,1
8370,Player 1,Team 1,10,1,0,0,0,0
8371,Player 2,Team 2,11,2,1,1,1,1
8372,Player 3,Team 3,12,3,2,2,0,0
8373,Player 4,Team 4,13,4,3,0,1,1
8374,Player 5,Team 5,14,5,4,1,0,0
8375,Player 6,Team 1,15,6,0,2,1,1
8376,Player 7,Team 2,16,7,1,0,0,0
8377,Player 8,Team 3,17,8,2,1,1,1
8378,Player 9,Team 4,18,9,3,2,0,0
8379,Player 10,Team 5,19,10,4,0,1,1
8380,Player 1,Team 1,0,1,0,1,0,0
8381,Player 2,Team 2,1,2,1,2,1,1
8382,Player 3,Team 3,2,3,2,0,0,0
8383,Player 4,Team 4,3,4,3,1,1,1
8384,Player 5,Team 5,4,5,4,2,0,0
8385,Player 6,Team 1,5,6,0,0,1,1
8386,Player 7,Team 2,6,7,1,1,0,0
8387,Player 8,Team 3,7,8,2,2,1,1
8388,Player 9,Team 4,8,9,3,0,0,0
8389,Player 10,Team 5,9,10,4,1,1,1
8390,Player 1,Team 1,10,1,0,2,0,0
8391,Player 2,Team 2,11,2,1,0,1,1
8392,Player 3,Team 3,12,3,2,1,0,0
8393,Player 4,Team 4,13,4,3,2,1,1
8394,Player 5,Team 5,14,5,4,0,0,0
8395,Player 6,Team 1,15,6,0,1,1,1
8396,Player 7,Team 2,16,7,1,2,0,0
8397,Player 8,Team 3,17,8,2,0,1,1
8398,Player 9,Team 4,18,9,3,1,0,0
8399,Player 10,Team 5,19,10,4,2,1,1
8400,Player 1,Team 1,0,1,0,0,0,0
8401,Player 2,Team 2,1,2,1,1,1,1
8402,Player 3,Team 3,2,3,2,2,0,0
8403,Player 4,Team 4,3,4,3,0,1,1
8404,Player 5,Team 5,4,5,4,1,0,0
8405,Player 6,Team 1,5,6,0,2,1,1
8406,Player 7,Team 2,6,7,1,0,0,0
8407,Player 8,Team 3,7,8,2,1,1,1
8408,Player 9,Team 4,8,9,3,2,0,0
8409,Player 10,Team 5,9,10,4,0,1,1
8410,Player 1,Team 1,10,1,0,1,0,0
8411,Player 2,Team 2,11,2,1,2,1,1
8412,Player 3,Team 3,12,3,2,0,0,0
8413,Player 4,Team 4,13,4,3,1,1,1
8414,Player 5,Team 5,14,5,4,2,0,0
8415,Player 6,Team 1,15,6,0,0,1,1
8416,Player 7,Team 2,16,7,1,1,0,0
8417,Player 8,Team 3,17,8,2,2,1,1
8418,Player 9,Team 4,18,9,3,0,0,0
8419,Player 10,Team 5,19,10,4,1,1,1
8420,Player 1,Team 1,0,1,0,2,0,0
8421,Player 2,Team 2,1,2,1,0,1,1
8422,Player 3,Team 3,2,3,2,1,0,0
8423,Player 4,Team 4,3,4,3,2,1,1
8424,Player 5,Team 5,4,5,4,0,0,0
8425,Player 6,Team 1,5,6,0,1,1,1
8426,Player 7,Team 2,6,7,1,2,0,0
8427,Player 8,Team 3,7,8,2,0,1,1
8428,Player 9,Team 4,8,9,3,1,0,0
8429,Player 10,Team 5,9,10,4,2,1,1
8430,Player 1,Team 1,10,1,0,0,0,0
8431,Player 2,Team 2,11,2,1,1,1,1
8432,Player 3,Team 3,12,3,2,2,0,0
8433,Player 4,Team 4,13,4,3,0,1,1
8434,Player 5,Team 5,14,5,4,1,0,0
8435,Player 6,Team 1,15,6,0,2,1,1
8436,Player 7,Team 2,16,7,1,0,0,0
8437,Player 8,Team 3,17,8,2,1,1,1
8438,Player 9,Team 4,18,9,3,2,0,0
8439,Player 10,Team 5,19,10,4,0,1,1
8440,Player 1,Team 1,0,1,0,1,0,0
8441,Player 2,Team 2,1,2,1,2,1,1
8442,Player 3,Team 3,2,3,2,0,0,0
8443,Player 4,Team 4,3,4,3,1,1,1
8444,Player 5,Team 5,4,5,4,2,0,0
8445,Player 6,Team 1,5,6,0,0,1,1
8446,Player 7,Team 2,6,7,1,1,0,0
8447,Player 8,Team 3,7,8,2,2,1,1
8448,Player 9,Team 4,8,9,3,0,0,0
8449,Player 10,Team 5,9,10,4,1,1,1
8450,Player 1,Team 1,10,1,0,2,0,0
8451,Player 2,Team 2,11,2,1,0,1,1
8452,Player 3,Team 3,12,3,2,1,0,0
8453,Player 4,Team 4,13,4,3,2,1,1
8454,Player 5,Team 5,14,5,4,0,0,0
8455,Player 6,Team 1,15,6,0,1,1,1
8456,Player 7,Team 2,16,7,1,2,0,0
8457,Player 8,Team 3,17,8,2,0,1,1
8458,Player 9,Team 4,18,9,3,1,0,0
8459,Player 10,Team 5,19,10,4,2,1,1
8460,Player 1,Team 1,0,1,0,0,0,0
8461,Player 2,Team 2,1,2,1,1,1,1
8462,Player 3,Team 3,2,3,2,2,0,0
8463,Player 4,Team 4,3,4,3,0,1,1
